ImgDim,BlockX,BlockY,Threads,Mode,Timing
1024,1,1,32,c,17.93504
1024,1,1,32,m,57.434498
1024,1,1,64,c,9.875776
1024,1,1,64,m,28.695135
1024,1,1,128,c,5.952288
1024,1,1,128,m,15.150272
1024,1,1,256,c,5.856128
1024,1,1,256,m,7.728576
1024,1,2,32,c,8.974688
1024,1,2,32,m,28.705919
1024,1,2,64,c,4.96512
1024,1,2,64,m,15.052352
1024,1,2,128,c,2.980704
1024,1,2,128,m,7.516736
1024,1,2,256,c,2.935424
1024,1,2,256,m,3.861664
1024,1,4,32,c,4.489952
1024,1,4,32,m,14.36064
1024,1,4,64,c,2.562976
1024,1,4,64,m,7.472704
1024,1,4,128,c,1.547072
1024,1,4,128,m,3.7736
1024,1,4,256,c,1.474624
1024,1,4,256,m,1.953408
1024,1,8,32,c,2.263232
1024,1,8,32,m,7.197792
1024,1,8,64,c,1.303168
1024,1,8,64,m,3.741536
1024,1,8,128,c,0.773696
1024,1,8,128,m,1.8904
1024,1,8,256,c,0.750176
1024,1,8,256,m,1.007584
1024,1,16,32,c,1.27232
1024,1,16,32,m,3.617088
1024,1,16,64,c,0.823072
1024,1,16,64,m,1.893696
1024,1,16,128,c,0.849504
1024,1,16,128,m,0.986528
1024,1,16,256,c,0.854528
1024,1,16,256,m,0.580736
1024,2,1,32,c,9.04112
1024,2,1,32,m,29.015039
1024,2,1,64,c,5.145024
1024,2,1,64,m,15.445344
1024,2,1,128,c,2.990848
1024,2,1,128,m,7.576096
1024,2,1,256,c,2.936992
1024,2,1,256,m,3.950688
1024,2,2,32,c,4.52624
1024,2,2,32,m,14.521888
1024,2,2,64,c,2.514656
1024,2,2,64,m,7.459744
1024,2,2,128,c,1.50704
1024,2,2,128,m,3.81408
1024,2,2,256,c,1.474112
1024,2,2,256,m,1.981824
1024,2,4,32,c,2.279584
1024,2,4,32,m,7.281632
1024,2,4,64,c,1.409824
1024,2,4,64,m,3.805984
1024,2,4,128,c,0.80528
1024,2,4,128,m,1.916768
1024,2,4,256,c,0.752608
1024,2,4,256,m,1.012992
1024,2,8,32,c,1.335712
1024,2,8,32,m,3.744896
1024,2,8,64,c,0.840608
1024,2,8,64,m,1.925664
1024,2,8,128,c,0.853184
1024,2,8,128,m,0.992576
1024,2,8,256,c,0.851072
1024,2,8,256,m,0.568896
1024,2,16,32,c,0.767328
1024,2,16,32,m,1.90064
1024,2,16,64,c,0.672768
1024,2,16,64,m,0.9968
1024,2,16,128,c,0.672736
1024,2,16,128,m,0.554432
1024,2,16,256,c,0.66896
1024,2,16,256,m,0.379328
1024,4,1,32,c,4.535744
1024,4,1,32,m,14.502944
1024,4,1,64,c,2.549504
1024,4,1,64,m,7.236352
1024,4,1,128,c,1.580832
1024,4,1,128,m,3.791968
1024,4,1,256,c,1.48
1024,4,1,256,m,1.984512
1024,4,2,32,c,2.291616
1024,4,2,32,m,7.26848
1024,4,2,64,c,1.286912
1024,4,2,64,m,3.854368
1024,4,2,128,c,0.79296
1024,4,2,128,m,1.909824
1024,4,2,256,c,0.755808
1024,4,2,256,m,1.016128
1024,4,4,32,c,1.294624
1024,4,4,32,m,3.650752
1024,4,4,64,c,0.820672
1024,4,4,64,m,1.911072
1024,4,4,128,c,0.857344
1024,4,4,128,m,0.991968
1024,4,4,256,c,0.859808
1024,4,4,256,m,0.59472
1024,4,8,32,c,0.769376
1024,4,8,32,m,1.902048
1024,4,8,64,c,0.677504
1024,4,8,64,m,0.995872
1024,4,8,128,c,0.672224
1024,4,8,128,m,0.560768
1024,4,8,256,c,0.671008
1024,4,8,256,m,0.385184
1024,4,16,32,c,0.599392
1024,4,16,32,m,0.996544
1024,4,16,64,c,0.592928
1024,4,16,64,m,0.555136
1024,4,16,128,c,0.59056
1024,4,16,128,m,0.38368
1024,4,16,256,c,0.58416
1024,4,16,256,m,0.341664
1024,8,1,32,c,2.28176
1024,8,1,32,m,7.225952
1024,8,1,64,c,1.305952
1024,8,1,64,m,3.896864
1024,8,1,128,c,0.886592
1024,8,1,128,m,1.927744
1024,8,1,256,c,0.799136
1024,8,1,256,m,1.924224
1024,8,2,32,c,1.309056
1024,8,2,32,m,3.720992
1024,8,2,64,c,0.821728
1024,8,2,64,m,1.854144
1024,8,2,128,c,0.857728
1024,8,2,128,m,0.975072
1024,8,2,256,c,0.853216
1024,8,2,256,m,0.983744
1024,8,4,32,c,0.842848
1024,8,4,32,m,1.886176
1024,8,4,64,c,0.671968
1024,8,4,64,m,0.986752
1024,8,4,128,c,0.669568
1024,8,4,128,m,0.575168
1024,8,4,256,c,0.669792
1024,8,4,256,m,0.573952
1024,8,8,32,c,0.602464
1024,8,8,32,m,0.985856
1024,8,8,64,c,0.586464
1024,8,8,64,m,0.558656
1024,8,8,128,c,0.584992
1024,8,8,128,m,0.38064
1024,8,8,256,c,0.584064
1024,8,8,256,m,0.376864
1024,8,16,32,c,0.598336
1024,8,16,32,m,0.550496
1024,8,16,64,c,0.596128
1024,8,16,64,m,0.373696
1024,8,16,128,c,0.592032
1024,8,16,128,m,0.326016
1024,8,16,256,c,0.656672
1024,8,16,256,m,0.419424
1024,16,1,32,c,1.401056
1024,16,1,32,m,3.740672
1024,16,1,64,c,0.917184
1024,16,1,64,m,1.9032
1024,16,1,128,c,0.91392
1024,16,1,128,m,1.944608
1024,16,1,256,c,0.967072
1024,16,1,256,m,1.936672
1024,16,2,32,c,0.820896
1024,16,2,32,m,1.871744
1024,16,2,64,c,0.671296
1024,16,2,64,m,0.980288
1024,16,2,128,c,0.692896
1024,16,2,128,m,0.990368
1024,16,2,256,c,0.676512
1024,16,2,256,m,0.991808
1024,16,4,32,c,0.613056
1024,16,4,32,m,0.979392
1024,16,4,64,c,0.589184
1024,16,4,64,m,0.574816
1024,16,4,128,c,0.58592
1024,16,4,128,m,0.568128
